epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,1174.83,0.7184,0.8672,1.06188,0.77385,0.7891,0.77869,0.65421,0.70154,0.79026,1.07532,0.000284294,0.000284294,0.000284294
74,1190.3,0.72853,0.88821,1.06059,0.76118,0.77204,0.77196,0.65445,0.67123,0.78221,1.05138,0.000283285,0.000283285,0.000283285
75,1206.73,0.70187,0.85857,1.06261,0.76509,0.75666,0.78574,0.67387,0.66939,0.78,1.04414,0.000282275,0.000282275,0.000282275
76,1222.83,0.70702,0.88178,1.06467,0.78455,0.75418,0.79571,0.68978,0.65374,0.76759,1.04737,0.000281265,0.000281265,0.000281265
77,1238.28,0.70454,0.85865,1.04448,0.79041,0.76138,0.78876,0.67287,0.67571,0.76333,1.05052,0.000280255,0.000280255,0.000280255
78,1253.51,0.70485,0.88126,1.06914,0.78782,0.78227,0.80903,0.69125,0.66451,0.74831,1.05237,0.000279245,0.000279245,0.000279245
79,1268.71,0.69383,0.8563,1.04891,0.76803,0.76952,0.80126,0.68932,0.65626,0.74492,1.03927,0.000278236,0.000278236,0.000278236
80,1284.08,0.68742,0.87548,1.05289,0.76656,0.78463,0.7902,0.67733,0.66312,0.75869,1.04395,0.000277226,0.000277226,0.000277226
81,1299.62,0.68764,0.84921,1.04908,0.82421,0.75933,0.807,0.68722,0.66891,0.75075,1.04897,0.000276216,0.000276216,0.000276216
82,1315.1,0.67076,0.82251,1.03696,0.77047,0.78605,0.80215,0.6895,0.65604,0.76911,1.04148,0.000275206,0.000275206,0.000275206
83,1330.54,0.71335,0.8924,1.07281,0.78457,0.80403,0.80143,0.6824,0.66726,0.75991,1.0344,0.000274196,0.000274196,0.000274196
84,1345.95,0.69907,0.85189,1.06116,0.81982,0.7641,0.80633,0.68634,0.68123,0.75685,1.05305,0.000273187,0.000273187,0.000273187
85,1361.39,0.67812,0.83027,1.04731,0.76849,0.76262,0.77573,0.6673,0.66345,0.77879,1.06129,0.000272177,0.000272177,0.000272177
86,1376.87,0.68234,0.82516,1.04893,0.83657,0.71862,0.80684,0.69908,0.65292,0.76697,1.03368,0.000271167,0.000271167,0.000271167
87,1392.45,0.67368,0.81085,1.0502,0.75902,0.8186,0.8113,0.69806,0.65395,0.75907,1.03555,0.000270157,0.000270157,0.000270157
88,1408.22,0.69203,0.85229,1.04976,0.73853,0.81486,0.79423,0.68342,0.64878,0.75124,1.03149,0.000269147,0.000269147,0.000269147
89,1424.83,0.67645,0.81752,1.04598,0.70285,0.79432,0.79335,0.68132,0.64422,0.75329,1.03297,0.000268138,0.000268138,0.000268138
90,1441.03,0.67817,0.80588,1.03992,0.7908,0.80676,0.8196,0.70228,0.64369,0.71874,1.02904,0.000267128,0.000267128,0.000267128
91,1457.02,0.6601,0.79414,1.04223,0.80523,0.79811,0.80634,0.6968,0.64395,0.74449,1.03643,0.000266118,0.000266118,0.000266118
92,1472.93,0.65297,0.79233,1.02224,0.78744,0.77557,0.7908,0.6794,0.64637,0.75375,1.03473,0.000265108,0.000265108,0.000265108
93,1488.82,0.67354,0.81315,1.04396,0.83926,0.74381,0.80872,0.69417,0.64549,0.74194,1.0362,0.000264098,0.000264098,0.000264098
94,1504.72,0.662,0.80583,1.03019,0.81623,0.75368,0.80697,0.69442,0.62862,0.73885,1.02546,0.000263089,0.000263089,0.000263089
95,1520.56,0.65168,0.77453,1.03317,0.84217,0.75826,0.82363,0.70549,0.64095,0.72286,1.02873,0.000262079,0.000262079,0.000262079
96,1536.55,0.67774,0.78125,1.03515,0.83462,0.74552,0.80129,0.6923,0.64305,0.7396,1.03308,0.000261069,0.000261069,0.000261069
97,1552.45,0.65684,0.76112,1.02522,0.81312,0.76299,0.80629,0.6999,0.63445,0.74029,1.0254,0.000260059,0.000260059,0.000260059
98,1568.37,0.65533,0.78124,1.02954,0.772,0.77548,0.80307,0.69928,0.63236,0.74349,1.02807,0.000259049,0.000259049,0.000259049
99,1584.24,0.63741,0.77641,1.02294,0.77004,0.793,0.82062,0.70611,0.64538,0.7567,1.03044,0.00025804,0.00025804,0.00025804
100,1600.18,0.6565,0.78641,1.02675,0.81852,0.77943,0.82005,0.70737,0.63273,0.72977,1.02026,0.00025703,0.00025703,0.00025703
101,1616.06,0.64613,0.77773,1.03931,0.79938,0.79063,0.81694,0.70588,0.63373,0.75042,1.02589,0.00025602,0.00025602,0.00025602
102,1631.88,0.64018,0.74347,1.0211,0.78528,0.79956,0.81975,0.70441,0.64742,0.73806,1.03797,0.00025501,0.00025501,0.00025501
103,1647.79,0.66056,0.76363,1.02871,0.84261,0.74803,0.82418,0.70746,0.63737,0.73008,1.03371,0.000254,0.000254,0.000254
104,1663.7,0.65532,0.7702,1.0241,0.81221,0.77682,0.81265,0.70568,0.6232,0.73274,1.01696,0.000252991,0.000252991,0.000252991
105,1679.57,0.62778,0.71794,1.00795,0.84085,0.75746,0.82153,0.70845,0.626,0.73856,1.01983,0.000251981,0.000251981,0.000251981
106,1695.53,0.64007,0.76285,1.01638,0.8304,0.75988,0.81035,0.69709,0.6287,0.73656,1.02339,0.000250971,0.000250971,0.000250971
107,1711.37,0.63788,0.74242,1.00778,0.84433,0.73168,0.80817,0.69444,0.64346,0.73999,1.03702,0.000249961,0.000249961,0.000249961
108,1727.2,0.64388,0.75424,1.01348,0.84866,0.74481,0.81676,0.70858,0.63623,0.71587,1.02126,0.000248951,0.000248951,0.000248951
109,1743.05,0.62843,0.76163,1.01418,0.80537,0.76883,0.81895,0.70446,0.6503,0.74791,1.02961,0.000247942,0.000247942,0.000247942
